Date,Open,High,Low,Close*,Adj Close**,Volume
"May 17, 2024",123.18,123.58,122.08,123.5,122.88,"6,179,400"
"May 16, 2024",121.94,122.45,121.21,122.16,121.54,"5,159,300"
"May 15, 2024",120.17,122.09,119.67,121.63,121.02,"6,604,600"
"May 14, 2024",116.5,122.55,116.13,120.87,120.26,"17,811,200"
"May 13, 2024",117.13,117.19,116.2,116.37,115.78,"4,140,000"
"May 10, 2024",117.15,117.63,115.91,116.67,116.08,"4,122,500"
"May 09, 2024",117.39,117.73,116.5,116.64,116.05,"3,236,200"
"May 08, 2024",117.71,117.98,117.11,117.39,116.8,"4,636,000"
"May 07, 2024",118,119.13,117.29,117.93,117.33,"6,437,700"
"May 06, 2024",116.33,118.36,116.18,118.34,117.74,"6,052,400"
"May 03, 2024",115.98,116.21,115.07,115.8,115.21,"4,485,000"
"May 02, 2024",115.23,115.81,114.26,114.96,114.38,"5,001,000"
"May 01, 2024",113.91,116.76,113.65,114.63,114.05,"5,583,600"
"Apr 30, 2024",115.09,115.52,113.69,113.75,113.18,"6,234,700"
"Apr 29, 2024",116.99,117.31,115.29,116.49,115.9,"4,994,100"
"Apr 26, 2024",117.04,119.21,116.15,117.21,116.62,"8,355,100"
"Apr 25, 2024",113.63,114.99,112.78,114.89,114.31,"6,796,600"
"Apr 24, 2024",115.38,115.73,113.88,115.34,114.76,"5,791,800"
"Apr 23, 2024",115.17,115.86,114.75,115.09,114.51,"5,494,800"
"Apr 22, 2024",116.03,116.34,114.34,114.53,113.95,"7,125,500"
"Apr 19, 2024",116.12,116.77,114.46,114.88,114.3,"8,250,300"
"Apr 18, 2024",118.76,118.76,115.7,116,115.41,"6,662,400"
"Apr 17, 2024",120.98,121.04,118.61,118.67,118.07,"5,366,600"
"Apr 16, 2024",120.09,121.44,119.75,120.62,120.01,"7,000,000"
"Apr 15, 2024",122.18,122.47,119.44,119.88,119.27,"5,101,500"
"Apr 12, 2024",121.74,121.84,120.42,121.11,120.5,"6,189,600"
"Apr 11, 2024",121.72,123.82,121.36,123.24,122.62,"7,315,200"
"Apr 10, 2024",121.35,123.08,121.32,121.75,121.13,"4,509,900"
"Apr 09, 2024",124.35,124.75,121.24,123.23,122.61,"5,564,900"
"Apr 09, 2024",0.4 Dividend,,,,,
"Apr 08, 2024",125,125.12,123.76,124.35,123.32,"6,119,200"
"Apr 05, 2024",124.42,126,124.14,124.9,123.87,"4,898,100"
"Apr 04, 2024",127.6,127.99,124.03,124.19,123.17,"7,588,300"
"Apr 03, 2024",124.26,126.41,124.06,126.24,125.2,"7,430,000"
"Apr 02, 2024",124.51,124.93,123.43,124.34,123.31,"4,862,400"
"Apr 01, 2024",125.54,126.27,124.56,125.48,124.44,"4,133,600"
"Mar 28, 2024",125.39,126.17,125.2,125.61,124.57,"6,587,400"
"Mar 27, 2024",127.33,127.82,124.47,125.27,124.24,"8,115,900"
"Mar 26, 2024",126.75,126.94,125.84,126.47,125.43,"7,063,900"
"Mar 25, 2024",127.67,127.67,126.05,126.08,125.04,"7,446,100"
"Mar 22, 2024",129.01,129.21,127.55,127.79,126.74,"6,655,800"
"Mar 21, 2024",130.52,132.77,128.95,129.01,127.95,"17,842,400"
"Mar 20, 2024",129.98,130.69,128.27,129.24,128.17,"8,373,300"
"Mar 19, 2024",127.75,129.21,126.49,129.19,128.12,"10,221,000"
"Mar 18, 2024",127.2,128.95,126.88,127.8,126.75,"12,231,400"
"Mar 15, 2024",124.04,126.01,123.56,125.54,124.5,"17,841,600"
"Mar 14, 2024",127.23,127.8,124.94,125.53,124.49,"10,965,900"
"Mar 13, 2024",128,128.8,124.83,125.52,124.48,"15,870,300"
"Mar 12, 2024",126.26,129.37,124.6,127.54,126.49,"48,536,100"
"Mar 11, 2024",111.61,114.75,111.18,114.13,113.19,"20,438,300"
"Mar 08, 2024",114.07,114.33,111.54,112.42,111.49,"8,304,100"
"Mar 07, 2024",113.94,114.8,112.29,114.54,113.59,"7,670,100"
"Mar 06, 2024",111.5,113.05,110.67,112.27,111.34,"6,706,400"
"Mar 05, 2024",112.82,113.2,110.37,110.94,110.02,"8,242,000"
"Mar 04, 2024",113.58,114.6,113.39,114.06,113.12,"6,588,100"
"Mar 01, 2024",111.68,113.94,111.52,113.78,112.84,"7,603,700"
"Feb 29, 2024",111.68,112.44,110.64,111.68,110.76,"12,193,900"
"Feb 28, 2024",111.26,112.02,111.1,111.68,110.76,"5,278,300"
"Feb 27, 2024",110.62,111.51,109.79,111.38,110.46,"6,593,100"
"Feb 26, 2024",112,112.54,110.93,110.97,110.05,"6,342,900"
"Feb 23, 2024",112,113.37,111.71,111.95,111.03,"7,504,500"
"Feb 22, 2024",111.49,111.89,109.66,111.01,110.09,"8,957,800"
"Feb 21, 2024",106.76,108.38,106.51,108.16,107.27,"7,867,600"
"Feb 20, 2024",110.54,110.77,107.68,108.45,107.55,"10,975,600"
"Feb 16, 2024",113.02,113.11,111.25,111.31,110.39,"8,931,100"
"Feb 15, 2024",114.25,114.31,112.57,112.78,111.85,"8,455,600"
"Feb 14, 2024",114.32,114.72,113.53,114.26,113.32,"5,946,100"
"Feb 13, 2024",113.79,114.21,113,113.68,112.74,"8,171,700"
"Feb 12, 2024",116.26,117.1,115.38,115.84,114.88,"5,439,600"
"Feb 09, 2024",117.06,117.34,115.73,116.64,115.68,"5,787,100"
"Feb 08, 2024",117.09,117.79,115.97,116.68,115.72,"4,472,800"
"Feb 07, 2024",115.8,117.59,115.3,117.27,116.3,"7,672,900"
"Feb 06, 2024",116.74,116.95,114.98,115.3,114.35,"4,637,500"
"Feb 05, 2024",115.53,116.72,114.77,116.39,115.43,"8,084,500"
"Feb 02, 2024",115.82,116.49,115.16,115.79,114.83,"6,499,400"
"Feb 01, 2024",112.91,115.78,112.55,115.53,114.58,"7,882,200"
"Jan 31, 2024",113.81,114.27,111.67,111.7,110.78,"7,386,700"
"Jan 30, 2024",113.36,114.4,112.63,114.16,113.22,"8,231,900"
"Jan 29, 2024",114.19,114.59,113.01,113.75,112.81,"7,014,400"
"Jan 26, 2024",114.64,115.48,114.27,114.64,113.69,"5,541,800"
"Jan 25, 2024",114.89,116.18,114.35,115,114.05,"8,877,200"
"Jan 24, 2024",113.42,115.42,113.33,114.31,113.37,"11,702,700"
"Jan 23, 2024",110.29,112.68,109.56,111.83,110.91,"9,185,900"
"Jan 22, 2024",110.06,110.69,109.27,110.1,109.19,"7,485,300"
"Jan 19, 2024",109.32,110.22,109.02,109.67,108.76,"11,121,300"
"Jan 18, 2024",106.99,108.88,106.62,108.7,107.8,"10,362,300"
"Jan 17, 2024",106.46,107.5,105.68,106.43,105.55,"7,771,500"
"Jan 16, 2024",106.41,106.66,105.42,106.57,105.69,"7,547,200"
"Jan 12, 2024",105.1,106.7,104.97,106.6,105.72,"9,696,700"
"Jan 11, 2024",104.35,104.84,103.54,104.77,103.91,"6,119,000"
"Jan 10, 2024",103.09,104.07,102.72,103.92,103.06,"7,270,500"
"Jan 10, 2024",0.4 Dividend,,,,,
"Jan 09, 2024",103.85,104.48,103.29,103.63,102.38,"6,725,200"
"Jan 08, 2024",102.94,104.77,102.13,104.66,103.4,"7,038,700"
"Jan 05, 2024",102.53,103.72,102.29,102.73,101.49,"6,131,500"
"Jan 04, 2024",102.77,103.36,102.4,102.59,101.35,"6,822,300"
