Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 10, 2024",126.84,130.41,126.36,130.31,130.26,"856,300"
"Jul 09, 2024",125,126.67,124.56,126.44,126.39,"489,100"
"Jul 08, 2024",126.58,128,124.98,125.02,124.97,"359,300"
"Jul 05, 2024",126,127.45,125.5,126.6,126.55,"345,700"
"Jul 03, 2024",126.52,128.22,125.44,126.41,126.36,"315,900"
"Jul 02, 2024",123.98,126.27,123.62,125.93,125.88,"489,000"
"Jul 01, 2024",123.36,125.52,123.01,124.14,124.09,"451,500"
"Jun 28, 2024",122,123.82,120.77,123.69,123.64,"1,208,000"
"Jun 28, 2024",0.06 Dividend,,,,,
"Jun 27, 2024",120.96,121.32,119.9,120.84,120.73,"228,000"
"Jun 26, 2024",120.45,121.08,119.5,120.66,120.55,"214,400"
"Jun 25, 2024",121.62,122.36,120.96,121.18,121.07,"231,700"
"Jun 24, 2024",121.47,122.59,121.1,121.37,121.26,"211,200"
"Jun 21, 2024",120.08,121.05,119.12,121.04,120.93,"593,800"
"Jun 20, 2024",120.41,121.86,119.68,119.88,119.77,"182,500"
"Jun 18, 2024",122.22,122.89,120.25,121.2,121.09,"279,400"
"Jun 17, 2024",118.56,122.31,118.56,122.15,122.04,"404,100"
"Jun 14, 2024",118.95,119.38,117.91,118.96,118.85,"201,700"
"Jun 13, 2024",120,120,118.14,119.61,119.5,"169,600"
"Jun 12, 2024",120.42,122.62,120.35,120.48,120.37,"256,400"
"Jun 11, 2024",118.99,120.19,117.74,119.12,119.01,"231,500"
"Jun 10, 2024",118.13,119.62,117.41,119.41,119.3,"254,200"
"Jun 07, 2024",118.6,119.42,118.21,119.03,118.92,"174,700"
"Jun 06, 2024",119.08,119.79,118.16,118.82,118.71,"228,000"
"Jun 05, 2024",122.24,122.55,119.96,120.42,120.31,"326,700"
"Jun 04, 2024",119.44,122,118.14,121.41,121.3,"237,900"
"Jun 03, 2024",121.9,121.9,119.32,119.77,119.66,"252,400"
"May 31, 2024",118.63,121.42,117.69,121.24,121.13,"444,600"
"May 30, 2024",116.95,119.26,116.95,118.49,118.38,"211,900"
"May 29, 2024",117.97,117.97,116.23,116.75,116.64,"248,300"
"May 28, 2024",119.74,120.64,117.38,118.93,118.82,"246,800"
"May 24, 2024",119,120.26,118.28,120.16,120.05,"157,800"
