Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2024",166.71,167.4,166.58,167.1,165.78,"4,442,700"
"Apr 02, 2024",167.51,167.51,166.43,166.92,165.6,"4,598,400"
"Apr 01, 2024",169.6,169.67,168.24,168.37,167.04,"4,757,200"
"Mar 28, 2024",169.16,169.8,168.96,169.37,168.03,"3,728,100"
"Mar 27, 2024",167.14,168.79,167.05,168.78,167.45,"5,999,200"
"Mar 26, 2024",166.8,166.99,166.06,166.12,164.81,"3,669,800"
"Mar 25, 2024",166.63,167.05,166.26,166.28,164.97,"2,903,700"
"Mar 22, 2024",167.8,168,166.61,166.64,165.32,"3,177,600"
"Mar 21, 2024",167.34,168.18,167.16,167.72,166.39,"6,010,900"
"Mar 20, 2024",165.08,166.73,164.8,166.58,165.26,"4,925,700"
"Mar 19, 2024",164.17,165.21,164.04,165.17,163.86,"5,789,400"
"Mar 18, 2024",164.33,164.74,163.69,164.19,162.89,"4,712,600"
"Mar 18, 2024",0.68 Dividend,,,,,
"Mar 15, 2024",163.67,164.98,163.66,164.42,162.45,"7,966,400"
"Mar 14, 2024",166.28,166.35,163.7,164.74,162.76,"7,757,600"
"Mar 13, 2024",166.27,166.82,165.74,166.23,164.23,"4,644,000"
"Mar 12, 2024",166.02,166.46,165.24,166.15,164.15,"6,357,900"
"Mar 11, 2024",165.16,165.82,164.63,165.72,163.73,"5,503,800"
"Mar 08, 2024",166.16,166.72,165.28,165.51,163.52,"9,114,500"
"Mar 07, 2024",165.42,165.97,165.31,165.7,163.71,"6,407,600"
"Mar 06, 2024",164.37,164.97,163.9,164.41,162.44,"6,041,100"
"Mar 05, 2024",163.96,164.67,162.87,163.48,161.52,"6,260,600"
"Mar 04, 2024",163.84,164.7,163.84,164.23,162.26,"5,165,000"
"Mar 01, 2024",163,164,162.23,163.93,161.96,"6,389,000"
"Feb 29, 2024",162.89,163.22,162.11,162.79,160.84,"6,298,500"
"Feb 28, 2024",161.67,162.49,161.49,162.12,160.17,"4,296,800"
"Feb 27, 2024",161.87,162.1,161.52,162.06,160.11,"4,362,900"
"Feb 26, 2024",161.98,162.41,161.24,161.35,159.41,"5,164,000"
"Feb 23, 2024",161.94,162.41,161.63,162,160.05,"6,375,200"
"Feb 22, 2024",160.82,161.98,160.48,161.57,159.63,"9,128,000"
"Feb 21, 2024",159.25,160.03,158.92,159.98,158.06,"4,602,900"
"Feb 20, 2024",159.3,159.96,159.24,159.66,157.74,"6,827,700"
"Feb 16, 2024",160.19,161.09,159.88,160.03,158.11,"5,060,600"
"Feb 15, 2024",159.42,160.91,159.37,160.76,158.83,"5,846,600"
"Feb 14, 2024",158.15,158.9,157.59,158.79,156.88,"11,291,300"
"Feb 13, 2024",157.85,158.21,156.16,157.35,155.46,"9,741,100"
"Feb 12, 2024",159,160.53,158.99,160.01,158.09,"6,971,900"
"Feb 09, 2024",158.69,159.08,158.15,158.93,157.02,"5,055,000"
